symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct
BAJAJHLDNG.NS,2026-02-18,5,Uptrend (above rising SMA50); Near 20-day high; Open-Low Same (conviction buy); Strong RSI momentum; Volume contracting (low selling pressure),11413.0,65.0,11029.72,12179.56,stop_loss_hit,11029.72,2026-02-20,2,-3.36
BAJFINANCE.NS,2026-02-18,5,RSI in healthy zone; Near 20-day high; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1023.8,63.9,987.87,1095.66,stop_loss_hit,987.87,2026-03-02,8,-3.51
BANKBARODA.NS,2026-02-18,6,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Near 20-day high; Open-Low Same (conviction buy); Weekly trend aligned (above Weekly EMA20),295.59,59.4,284.1,318.57,stop_loss_hit,284.1,2026-03-09,12,-3.89
BEL.NS,2026-02-18,6,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Recent SMA50/SMA100 bullish crossover; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),445.8,62.3,428.76,479.89,stop_loss_hit,428.76,2026-02-24,4,-3.82
BHARTIARTL.NS,2026-02-18,4,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),2021.8,50.5,1969.5,2126.4,stop_loss_hit,1969.5,2026-02-24,4,-2.59
BPCL.NS,2026-02-18,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),380.9,61.5,367.38,407.94,stop_loss_hit,367.38,2026-02-19,1,-3.55
BRITANNIA.NS,2026-02-18,5,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),6176.0,62.8,5985.73,6556.54,stop_loss_hit,5985.73,2026-02-27,7,-3.08
CANBK.NS,2026-02-18,5,RSI in healthy zone; MACD bullish crossover; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),147.09,55.7,140.83,159.6,stop_loss_hit,140.83,2026-03-09,12,-4.26
CGPOWER.NS,2026-02-18,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),710.55,70.3,679.77,772.11,stop_loss_hit,679.77,2026-03-04,9,-4.33
CHOLAFIN.NS,2026-02-18,5,Uptrend (above rising SMA50); RSI in healthy zone; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1717.0,52.2,1650.5,1850.0,stop_loss_hit,1650.5,2026-02-26,6,-3.87
COALINDIA.NS,2026-02-18,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),418.0,50.2,401.98,450.04,target_hit,450.04,2026-03-05,10,7.67
CUMMINSIND.NS,2026-02-18,7,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20),4725.8,76.1,4524.93,5127.54,stop_loss_hit,4524.93,2026-03-12,15,-4.25
DIVISLAB.NS,2026-02-18,4,RSI in healthy zone; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),6283.5,53.4,5992.61,6865.28,timeout,6282.0,2026-03-12,15,-0.02
DRREDDY.NS,2026-02-18,5,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1280.3,60.2,1241.58,1357.74,stop_loss_hit,1241.58,2026-03-02,8,-3.02
EICHERMOT.NS,2026-02-18,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),8009.5,71.4,7737.52,8553.46,stop_loss_hit,7737.52,2026-03-02,8,-3.4
ENRIN.NS,2026-02-18,4,Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure),2798.5,65.6,2646.62,3102.26,timeout,2866.89990234375,2026-03-12,15,2.44
GAIL.NS,2026-02-18,4,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),167.31,60.2,162.08,177.77,stop_loss_hit,162.08,2026-03-04,9,-3.13
GODREJCP.NS,2026-02-18,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1211.58,57.7,1171.43,1291.87,stop_loss_hit,1171.43,2026-03-02,8,-3.31
GRASIM.NS,2026-02-18,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),2933.8,60.0,2850.04,3101.32,stop_loss_hit,2850.04,2026-02-19,1,-2.86
HAL.NS,2026-02-18,3,RSI in healthy zone; MACD bullish crossover; Volume contracting (low selling pressure),4251.1,49.2,4059.83,4633.64,stop_loss_hit,4059.83,2026-02-23,3,-4.5
HDFCAMC.NS,2026-02-18,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),2752.4,62.1,2654.76,2947.68,stop_loss_hit,2654.76,2026-02-20,2,-3.55
HDFCLIFE.NS,2026-02-18,6,RSI in healthy zone; MACD bullish crossover; Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy),727.01,54.5,705.44,770.15,stop_loss_hit,705.44,2026-03-02,8,-2.97
HINDALCO.NS,2026-02-18,3,Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),899.25,42.3,856.26,985.23,timeout,969.75,2026-03-12,15,7.84
HINDZINC.NS,2026-02-18,3,ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),574.75,41.3,536.68,650.89,timeout,572.5391845703125,2026-03-12,15,-0.38
ICICIBANK.NS,2026-02-18,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1408.2,54.7,1373.81,1476.98,stop_loss_hit,1373.81,2026-03-02,8,-2.44
INDHOTEL.NS,2026-02-18,3,RSI in healthy zone; Open-Low Same (conviction buy); Volume contracting (low selling pressure),695.1,51.9,669.79,745.72,stop_loss_hit,669.79,2026-02-19,1,-3.64
INDIGO.NS,2026-02-18,3,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure),4980.4,54.0,4822.46,5296.28,stop_loss_hit,4822.46,2026-02-19,1,-3.17
IOC.NS,2026-02-18,6,Uptrend (above rising SMA50); ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),176.51,67.5,170.43,188.68,stop_loss_hit,170.43,2026-02-20,2,-3.44
ITC.NS,2026-02-18,3,RSI in healthy zone; Near 20-day high; ADX greater than 25,323.63,55.3,312.99,344.92,stop_loss_hit,312.99,2026-02-25,5,-3.29
JINDALSTEL.NS,2026-02-18,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1221.8,72.4,1176.01,1313.38,stop_loss_hit,1176.01,2026-03-04,9,-3.75
JSWSTEEL.NS,2026-02-18,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1251.2,62.2,1215.13,1323.34,stop_loss_hit,1215.13,2026-03-04,9,-2.88
KOTAKBANK.NS,2026-02-18,5,RSI in healthy zone; Near 20-day high; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),426.35,53.8,413.84,451.37,stop_loss_hit,413.84,2026-03-02,8,-2.93
LODHA.NS,2026-02-18,3,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure),1108.15,62.4,1057.02,1210.41,stop_loss_hit,1057.02,2026-02-24,4,-4.61
LT.NS,2026-02-18,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),4284.06,76.5,4173.96,4504.25,stop_loss_hit,4173.96,2026-03-02,8,-2.57
MAXHEALTH.NS,2026-02-18,4,RSI in healthy zone; Near 20-day high; ADX greater than 25; Volume contracting (low selling pressure),1086.25,64.5,1045.82,1167.11,stop_loss_hit,1045.82,2026-03-04,9,-3.72
MOTHERSON.NS,2026-02-18,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),133.51,71.5,127.27,145.98,stop_loss_hit,127.27,2026-03-02,8,-4.67
NESTLEIND.NS,2026-02-18,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1300.9,52.9,1262.43,1377.84,stop_loss_hit,1262.43,2026-03-02,8,-2.96
NSEI,2026-02-18,5,RSI in healthy zone; Near 20-day high; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),25819.35,53.6,25408.88,26640.29,stop_loss_hit,25408.88,2026-02-19,1,-1.59
NTPC.NS,2026-02-18,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),368.4,65.0,358.05,389.1,target_hit,389.1,2026-03-12,15,5.62
ONGC.NS,2026-02-18,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),264.6,59.5,254.09,285.62,target_hit,285.62,2026-03-02,8,7.94
PFC.NS,2026-02-18,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),413.07,66.3,395.44,448.32,stop_loss_hit,395.44,2026-03-04,9,-4.27
PIDILITIND.NS,2026-02-18,5,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); Near 20-day high; Weekly trend aligned (above Weekly EMA20),1489.5,55.4,1448.4,1571.7,stop_loss_hit,1448.4,2026-03-02,8,-2.76
PNB.NS,2026-02-18,6,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Volume spike (>1.5x avg); Near 20-day high; Weekly trend aligned (above Weekly EMA20),124.55,60.2,119.62,134.41,stop_loss_hit,119.62,2026-03-04,9,-3.96
POWERGRID.NS,2026-02-18,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),300.55,73.7,290.64,320.37,stop_loss_hit,290.64,2026-03-02,8,-3.3
RECLTD.NS,2026-02-18,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),360.8,52.9,345.95,390.51,stop_loss_hit,345.95,2026-02-23,3,-4.12
SBILIFE.NS,2026-02-18,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),2056.74,57.0,2000.08,2170.06,stop_loss_hit,2000.08,2026-03-02,8,-2.75
SBIN.NS,2026-02-18,4,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Weekly trend aligned (above Weekly EMA20),1197.32,80.6,1159.31,1273.33,stop_loss_hit,1159.31,2026-03-02,8,-3.17
SHRIRAMFIN.NS,2026-02-18,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1076.2,63.8,1030.38,1167.84,stop_loss_hit,1030.38,2026-03-04,9,-4.26
SIEMENS.NS,2026-02-18,3,RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),3187.9,56.2,3049.65,3464.4,timeout,3324.699951171875,2026-03-12,15,4.29
SOLARINDS.NS,2026-02-18,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),13380.0,53.6,12733.22,14673.56,target_hit,14673.56,2026-03-05,10,9.67
SUNPHARMA.NS,2026-02-18,6,RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1724.4,59.8,1680.85,1811.5,target_hit,1811.5,2026-03-09,12,5.05
TATACONSUM.NS,2026-02-18,6,RSI in healthy zone; MACD bullish crossover; Open-Low Same (conviction buy); Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1159.89,53.6,1120.27,1239.12,stop_loss_hit,1120.27,2026-03-02,8,-3.42
TATAPOWER.NS,2026-02-18,5,RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),379.6,57.2,367.25,404.3,stop_loss_hit,367.25,2026-03-02,8,-3.25
TATASTEEL.NS,2026-02-18,7,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),204.81,65.2,196.27,221.88,stop_loss_hit,196.27,2026-03-04,9,-4.17
TITAN.NS,2026-02-18,5,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),4248.6,60.7,4110.72,4524.36,stop_loss_hit,4110.72,2026-03-04,9,-3.25
TMPV.NS,2026-02-18,5,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; ADX greater than 25; Volume contracting (low selling pressure),379.7,63.6,364.97,409.16,stop_loss_hit,364.97,2026-03-02,8,-3.88
TORNTPHARM.NS,2026-02-18,4,Uptrend (above rising SMA50); Near 20-day high; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20),4202.45,67.8,4058.86,4489.62,timeout,4437.18212890625,2026-03-12,15,5.59
TRENT.NS,2026-02-18,3,RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure),2787.35,46.5,2656.08,3049.88,stop_loss_hit,2656.08,2026-02-24,4,-4.71
TVSMOTOR.NS,2026-02-18,5,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),3871.67,63.2,3742.52,4129.96,stop_loss_hit,3742.52,2026-02-24,4,-3.34
ULTRACEMCO.NS,2026-02-18,6,Uptrend (above rising SMA50); Near 20-day high; Open-Low Same (conviction buy); Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),13052.0,67.7,12731.74,13692.52,stop_loss_hit,12731.74,2026-02-19,1,-2.45
UNIONBANK.NS,2026-02-18,7,Uptrend (above rising SMA50); MACD bullish crossover; Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20),193.11,72.5,184.65,210.03,stop_loss_hit,184.65,2026-03-09,12,-4.38
UNITDSPR.NS,2026-02-18,4,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1424.6,64.5,1387.59,1498.62,stop_loss_hit,1387.59,2026-02-20,2,-2.6
VBL.NS,2026-02-18,3,RSI in healthy zone; MACD bullish crossover; Volume contracting (low selling pressure),462.63,49.0,443.29,501.31,stop_loss_hit,443.29,2026-03-02,8,-4.18
VEDL.NS,2026-02-18,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),666.86,52.3,631.62,737.35,timeout,707.7794799804688,2026-03-12,15,6.14
ABB.NS,2026-02-19,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),5696.2,59.2,5460.43,6167.75,target_hit,6167.75,2026-02-20,1,8.28
ADANIENSOL.NS,2026-02-19,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1007.2,54.3,953.68,1114.24,stop_loss_hit,953.68,2026-03-02,7,-5.31
ADANIGREEN.NS,2026-02-19,3,RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),976.5,53.4,919.91,1089.68,stop_loss_hit,919.91,2026-03-02,7,-5.8
ADANIPORTS.NS,2026-02-19,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1506.95,52.3,1446.02,1628.81,stop_loss_hit,1446.02,2026-03-02,7,-4.04
APOLLOHOSP.NS,2026-02-19,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),7592.5,69.0,7379.48,8018.54,timeout,7550.0,2026-03-13,15,-0.56
ASIANPAINT.NS,2026-02-19,3,MACD bullish crossover; ADX greater than 25; Volume contracting (low selling pressure),2400.8,35.8,2315.5,2571.4,stop_loss_hit,2315.5,2026-03-02,7,-3.55
AXISBANK.NS,2026-02-19,5,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1356.6,56.6,1311.04,1447.72,stop_loss_hit,1311.04,2026-03-09,11,-3.36
BAJAJ-AUTO.NS,2026-02-19,3,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20),9593.98,54.2,9291.92,10198.1,stop_loss_hit,9291.92,2026-03-09,11,-3.15
BAJAJFINSV.NS,2026-02-19,3,RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),2033.2,53.8,1980.26,2139.08,stop_loss_hit,1980.26,2026-03-02,7,-2.6
BAJAJHLDNG.NS,2026-02-19,3,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure),11188.0,55.9,10793.53,11976.94,stop_loss_hit,10793.53,2026-02-27,6,-3.53
BAJFINANCE.NS,2026-02-19,5,RSI in healthy zone; Near 20-day high; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1017.05,61.4,981.81,1087.53,stop_loss_hit,981.81,2026-03-02,7,-3.46
BANKBARODA.NS,2026-02-19,5,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Near 20-day high; Weekly trend aligned (above Weekly EMA20),294.91,58.6,283.94,316.85,stop_loss_hit,283.94,2026-03-09,11,-3.72
BEL.NS,2026-02-19,5,Uptrend (above rising SMA50); RSI in healthy zone; Recent SMA50/SMA100 bullish crossover; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),433.5,52.7,415.94,468.63,target_hit,468.63,2026-03-06,10,8.1
BPCL.NS,2026-02-19,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),367.65,49.1,353.39,396.17,stop_loss_hit,353.39,2026-03-04,8,-3.88
BRITANNIA.NS,2026-02-19,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),6108.5,58.0,5920.62,6484.26,stop_loss_hit,5920.62,2026-03-02,7,-3.08
CANBK.NS,2026-02-19,4,RSI in healthy zone; MACD bullish crossover; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),144.65,50.9,138.44,157.07,target_hit,157.07,2026-02-26,5,8.59
CGPOWER.NS,2026-02-19,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),696.55,64.2,665.19,759.27,timeout,709.9000244140625,2026-03-13,15,1.92
CHOLAFIN.NS,2026-02-19,3,RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1676.6,45.7,1608.72,1812.36,stop_loss_hit,1608.72,2026-03-09,11,-4.05
COALINDIA.NS,2026-02-19,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),416.15,49.0,400.71,447.03,target_hit,447.03,2026-03-05,9,7.42
CUMMINSIND.NS,2026-02-19,4,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20),4646.0,69.2,4444.8,5048.4,timeout,4649.7001953125,2026-03-13,15,0.08
DIVISLAB.NS,2026-02-19,4,RSI in healthy zone; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),6297.5,54.0,6016.78,6858.94,timeout,6071.0,2026-03-13,15,-3.6
DRREDDY.NS,2026-02-19,5,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1282.3,60.6,1244.28,1358.34,stop_loss_hit,1244.28,2026-03-02,7,-2.96
EICHERMOT.NS,2026-02-19,5,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),7897.0,65.4,7617.02,8456.96,stop_loss_hit,7617.02,2026-03-04,8,-3.55
ENRIN.NS,2026-02-19,3,RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure),2757.7,61.4,2607.39,3058.32,timeout,2796.89990234375,2026-03-13,15,1.42
GAIL.NS,2026-02-19,5,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),166.88,59.1,161.65,177.34,stop_loss_hit,161.65,2026-03-04,8,-3.13
GODREJCP.NS,2026-02-19,3,RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1182.72,47.5,1141.61,1264.94,stop_loss_hit,1141.61,2026-03-04,8,-3.48
GRASIM.NS,2026-02-19,5,Uptrend (above rising SMA50); RSI in healthy zone; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),2864.3,50.5,2774.41,3044.08,stop_loss_hit,2774.41,2026-03-02,7,-3.14
HDFCAMC.NS,2026-02-19,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),2673.72,53.1,2572.38,2876.4,stop_loss_hit,2572.38,2026-03-02,7,-3.79
HDFCLIFE.NS,2026-02-19,4,RSI in healthy zone; MACD bullish crossover; Near 20-day high; ADX greater than 25,730.55,56.2,709.21,773.22,stop_loss_hit,709.21,2026-03-02,7,-2.92
HINDZINC.NS,2026-02-19,3,ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),573.62,41.0,536.79,647.28,stop_loss_hit,536.79,2026-03-13,15,-6.42
ICICIBANK.NS,2026-02-19,5,Uptrend (above rising SMA50); RSI in healthy zone; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1388.8,48.4,1353.92,1458.56,stop_loss_hit,1353.92,2026-03-04,8,-2.51
IOC.NS,2026-02-19,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),172.13,57.3,165.91,184.57,target_hit,184.57,2026-02-27,6,7.23
JINDALSTEL.NS,2026-02-19,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1211.1,68.3,1165.06,1303.18,stop_loss_hit,1165.06,2026-03-04,8,-3.8
JSWSTEEL.NS,2026-02-19,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1228.4,53.7,1191.43,1302.34,stop_loss_hit,1191.43,2026-03-09,11,-3.01
LT.NS,2026-02-19,5,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),4239.1,69.9,4129.21,4458.87,stop_loss_hit,4129.21,2026-03-02,7,-2.59
MAXHEALTH.NS,2026-02-19,4,RSI in healthy zone; Near 20-day high; ADX greater than 25; Volume contracting (low selling pressure),1081.45,62.7,1042.51,1159.33,stop_loss_hit,1042.51,2026-03-04,8,-3.6
MOTHERSON.NS,2026-02-19,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),129.48,61.9,123.19,142.05,stop_loss_hit,123.19,2026-03-04,8,-4.86
